year,month,day,hour,min,sec,lon,lat,depth,mag
1953,4,2,20,22,20.81,173.2,-42.47,12,4.803
1953,4,6,18,24,40.41,176.34,-40.45,12,3.592
1953,4,10,13,28,24.93,178.14,-38.26,33,3.898
1953,4,18,19,56,31.6,175.68,-39.44,33,3.372
1953,4,20,19,48,43.9,175.08,-39.49,33,3.813
1953,4,21,2,29,1.8,174.44,-40.13,33,3.364
1953,4,30,1,29,32.2,172.61,-41.08,12,3.609
1953,5,2,6,14,30.52,172.63,-42.41,33,3.201
1953,5,3,7,36,19.33,172.91,-42.43,12,3.796
1953,5,3,19,1,5.09,177.41,-37.78,33,3.983
1953,5,5,18,3,44.37,175.39,-41.2,33,3.49
1953,5,7,21,15,31.81,175.84,-39.43,33,3.38
1953,5,8,8,37,27.59,174.96,-41.1,33,3.1
1953,5,9,11,48,22.8,174.2,-41.51,12,3.525
1953,5,12,14,29,23.91,174.38,-41.86,12,3.779
1953,5,12,19,13,57.9,174.45,-41.17,12,4.201
1953,5,17,10,41,52.39,174.81,-40.9,33,3.626
1953,5,22,9,30,43.91,175.09,-40.18,33,4.17
1953,5,24,22,34,29.51,176.01,-40.47,12,4.309
1953,5,26,7,24,40.25,177.01,-38.09,33,3.55
1953,5,27,1,57,6.44,174.16,-40.67,33,3.66
1953,5,29,12,39,38.12,175.09,-41.44,33,3.779
1953,5,31,13,50,59.36,175.05,-41.79,12,4.058
1953,6,4,6,47,40.25,177.18,-37.89,12,3.63
1953,6,4,8,35,27.73,175.85,-38.92,33,4.031
1953,6,8,5,38,13.8,174.6,-40.25,33,4.221
1953,6,17,8,22,7.08,175.23,-35.71,12,4
1953,6,20,4,14,16.05,175.25,-35.85,12,3.6
1953,6,26,7,32,22.16,170.52,-42.99,33,3.881
1953,7,4,2,7,27.9,175.68,-38.86,12,5.227
1953,7,5,16,25,36.8,176.74,-40.78,12,3.741
1953,7,9,0,16,20.9,172.02,-41.67,12,3.63
1953,7,13,11,38,12.44,176.89,-40.89,12,3.694
1953,7,18,14,13,12.19,177.18,-37.44,12,3.966
1953,7,18,23,3,33.21,174.39,-40.71,33,4.003
1953,7,21,19,12,5.11,175.27,-41.07,33,3.133
1953,7,22,5,18,37.51,177.4,-39.4,12,4.497
1953,7,22,11,17,35.28,175.63,-39.39,12,3.242
1953,7,23,18,25,4.88,175.72,-39.11,12,3.201
1953,7,24,15,59,48.8,174.15,-40.37,33,3.745
1953,7,25,19,7,8.3,176,-39.73,12,4.191
1953,7,26,4,30,43.74,174.62,-41.98,12,4.599
1953,7,29,10,14,18.14,176.97,-37.24,33,4.34
1953,7,31,17,6,9.13,172.75,-42.64,33,3.63
1953,8,3,5,12,12.68,171,-42.75,12,3.2
1953,8,12,23,16,31.31,172.81,-41.22,12,3.15
1953,8,18,3,6,5.33,177.37,-38.03,33,3.796
1953,8,18,20,22,6.27,174.31,-41.75,12,4.139
1953,8,23,11,3,40.84,177.49,-38.86,33,3.099
1953,8,31,12,58,44.78,179.69,-38.18,33,4.557
1953,9,2,14,11,52.3,174.02,-40.44,33,3.201
1953,9,2,17,46,6.25,173.96,-41.13,33,3.507
1953,9,3,10,6,21.71,172.34,-43.64,12,3.405
1953,9,3,11,28,18.65,172.44,-41.23,33,3.439
1953,9,4,13,17,46.7,175.86,-40.79,33,4.201
1953,9,5,9,40,6.98,175.68,-38.73,33,3.456
1953,9,8,14,48,39.91,175.75,-37.91,33,3.983
1953,9,8,21,50,15.27,172.86,-42.75,33,3.303
1953,9,14,0,58,20.89,176.97,-40.56,33,3.983
1953,9,16,2,39,6.41,173.28,-42.2,33,3.303
1953,9,17,7,31,44.18,177.16,-38.06,33,3.303
1953,9,21,1,54,33.79,171.8,-41.2,33,3.066
1953,9,25,12,42,38.35,171.9,-41.22,33,3.27
1953,9,26,12,2,6.45,175.61,-38.9,12,3.278
1953,9,28,6,52,55.64,173.56,-41.71,33,3.27
1953,9,28,13,31,27.57,176.28,-38.52,33,3.15
1953,9,29,23,5,29.02,176.32,-38.92,12,3.201
1953,10,1,6,31,39.99,174.47,-40.43,33,3.235
1953,10,2,11,30,16.53,176.1,-39.11,33,3.456
1953,10,2,12,26,42.28,173.83,-41.58,12,3.252
1953,10,4,9,44,58.43,170.8,-43.03,12,3.168
1953,10,4,10,49,20.59,176.83,-37.72,12,3.303
1953,10,5,17,51,45.05,177.1,-39.6,33,3.8
