Year,Mo,Da,Ho,Mi,Se,Lat,Lon,Depth,Mw
1980,5,31,11,37,43,38.6333,14.25,0,4.14
1996,1,22,18,37,44.36,43.1033,13.5852,0,4.11
1972,11,28,20,37,31,42.8167,13.2667,0,4.07
1973,6,6,20,37,45,45.7,12,0,4.03
1974,8,5,18,37,45,44.55,7.65,0,3.97
1968,5,29,1,37,22,37.8,13,0,3.84
1971,5,6,14,37,18,44.7667,6.7667,0,3.84
1966,9,5,11,37,3,45.7,13.9,0,3.8
1970,4,17,9,37,49,41.4833,13.8333,0,3.8
1986,1,12,23,37,37.77,37.6677,15.1438,0,3.65
1968,1,28,21,37,20,37.8,13,0,3.64
1968,5,29,0,37,48,37.8,13,0,3.64
1979,3,25,11,36,17,39.1667,15.1833,367,4.68
1978,6,25,15,36,52,39.1833,15.6333,240,4.07
2008,8,17,1,36,52.83,38.42,14.839,203,3.84
1986,9,19,12,36,48.7,39.3925,15.8662,105.4,4.93
1981,6,22,9,36,15.45,38.3552,13.6283,68.7,4.77
1988,5,30,19,36,47.26,43.3912,13.9677,41.9,3.65
1979,11,12,17,36,24,46.7167,9.9667,39,3.64
2016,5,24,17,36,35.21,37.5707,19.6173,39,3.61
1979,12,23,13,36,50,44.45,11.1333,37,3.5
1976,11,12,19,36,34,39.6833,18.9667,36,4.46
1978,2,23,19,36,18,37.7,15.0167,34,3.64
1968,8,19,0,36,43,46.34,6.73,33,4.36
2007,1,25,21,36,11.82,43.646,13.549,29.5,3.84
2016,1,2,12,36,26.21,36.4637,11.9838,28.8,4.24
2013,2,6,1,36,50.07,44.1862,11.9607,26,3.52
2002,2,21,14,36,11.21,43.5922,12.2867,25.5,4.09
2009,12,19,5,36,28.79,37.771,14.954,24.7,4.43
2013,11,21,10,36,50.14,44.9088,9.044,23.2,3.91
2015,11,7,22,36,4.53,37.2548,15.8843,22.8,3.63
2016,1,17,16,36,5.2,36.4813,12.7078,19,4.04
1984,7,1,17,36,58.72,40.8595,14.1168,16.2,3.99
1976,5,11,23,36,41,46.25,13,16,3.74
1978,10,1,10,36,12,44.3833,9.6333,16,3.54
2009,8,6,15,36,44.44,41.648,13.669,15.7,4.23
2020,12,29,14,36,57.12,45.2375,11.0627,15.4,4.09
2020,8,11,1,36,5.51,39.2523,16.4333,15.1,3.72
1967,4,3,16,36,18,44.8,10.75,15,5.02
1961,3,24,10,36,0,38.15,15.6,14,5.14
1989,11,21,18,36,6.41,38.1077,15.792,13.9,4.08
1991,10,23,21,36,0.96,37.7673,15.029,13.8,3.97
1979,8,3,22,36,29,37.2667,14.5167,13,3.64
1979,5,21,12,36,41,43.0833,12.8,13,3.5
2019,12,16,10,36,15.51,41.0818,14.7363,10.7,4.13
