Year,Mo,Da,Ho,Mi,Se,Lat,Lon,Depth,Mw
2019,10,25,4,31,38.02,39.7002,15.4323,12.1,4.5
2004,2,23,17,31,21,47.272,6.271,12,4.41
2015,5,22,6,31,15.98,37.5587,19.8063,11.5,4.2
2016,8,27,21,31,42.46,42.5913,13.2598,11.3,3.52
2011,7,25,12,31,20.46,45.016,7.365,11,4.61
2016,8,24,5,31,24.85,42.7835,13.1318,10.6,3.53
1992,8,16,13,31,12.45,44.5083,7.2723,10.2,3.84
1988,4,26,2,31,26.5,42.0523,16.9693,10,4.28
1994,8,7,6,31,12.68,41.9938,13.3478,10,4.22
1988,4,26,1,31,50.28,42.6617,17.2162,10,4.17
1969,10,9,3,31,36,45.0833,7.3667,10,4.07
1972,3,29,11,31,55,44.45,9.5333,10,4.07
2011,6,17,5,31,0,43.82,16.5,10,4
1975,11,13,20,31,55,44.2,10.8833,10,3.74
1995,12,24,14,31,42.94,45.0522,6.6787,10,3.68
2003,4,14,22,31,39.6,43.109,15.415,10,3.68
1983,9,4,11,31,54.73,40.8467,14.1602,10,3.64
1993,2,17,21,31,47.42,36.4225,12.942,10,3.62
2010,6,13,17,31,4.51,41.293,19.549,10,3.61
2010,6,1,17,31,52.64,43.079,18.074,10,3.51
1991,10,31,9,31,18.63,44.9393,9.9978,9.9,4.54
2016,10,30,8,31,6.71,42.8848,13.1008,9.9,3.64
2016,8,24,5,31,32.08,42.6633,13.1937,9.6,3.56
2016,8,24,9,31,43.3,42.8123,13.1923,9.5,3.58
2000,12,16,7,31,7.66,42.5163,12.5863,9.2,4.29
1976,9,15,19,31,9,46.3167,13.25,9,4.33
2012,5,25,10,31,22.7,44.8412,11.222,8.9,4
2007,1,12,9,31,24.53,38.501,12.445,8.4,3.82
2014,3,13,17,31,59.48,45.673,14.8955,8.3,5.04
1992,10,5,6,31,16.93,42.1368,14.0102,8,3.78
2012,5,29,14,31,15.27,44.896,11.0078,7.9,3.59
2012,5,22,9,31,14.34,44.8588,11.2335,7.5,3.91
1975,8,16,0,31,58,46.1833,14.5,7,3.9
1976,8,14,7,31,41,47.3747,11.3981,7,3.66
1978,4,7,17,31,6,42.75,12.7333,7,3.56
2019,6,15,17,31,30.5,42.9447,11.8747,6.5,3.61
2012,2,27,16,31,21.23,44.486,6.75,6.4,3.6
1997,10,12,21,31,8.11,42.874,12.955,6.3,4.34
2013,7,8,23,31,53.97,44.1463,10.1718,6.1,3.54
2005,11,12,19,31,13.98,47.434,8.138,5.6,3.52
2003,12,30,5,31,38.3,41.64,14.849,5,4.53
1968,9,6,20,31,18,44.2333,8.2,5,4.14
1966,8,17,16,31,0,44.1667,11.9,5,3.8
1985,4,5,5,31,53.2,38.1865,14.8868,5,3.65
1979,8,5,22,31,37,37.7667,15,5,3.64
2004,10,11,7,31,41.2,37.861,15.476,4.4,3.58
2005,4,12,0,31,51.6,43.094,13.379,4.3,3.62
1998,1,2,7,31,33.11,42.966,12.8115,3.6,3.86
1966,8,6,2,31,3,42.18,18.79,3,5.15
1983,7,21,13,31,21.21,45.8558,11.3133,2.6,4.42
1997,10,13,18,31,27.14,42.8855,12.9622,2.1,3.66
2010,5,27,5,31,38,43,18.8,2,3.55
1997,10,16,17,31,44.42,42.8702,13.0123,1.5,4.26
1977,3,5,13,31,21,46.507,7.3358,1,4.23
2011,3,25,18,31,31.5,38.869,16.973,1,3.86
1999,7,7,18,31,24.06,44.2757,10.8353,1,3.76
2000,8,8,21,31,15.44,42.9548,12.8198,0.6,3.86
1997,11,8,15,31,53.71,42.8633,12.9742,0.3,4.36
1989,10,5,11,31,38.17,42.1295,15.5458,0.1,3.66
1964,6,4,0,31,59,40.5,15.6667,0,4.57
1969,7,2,10,31,22,39.7,16.7,0,4.57
1960,3,12,0,31,0,42.65,13.2333,0,4.36
2000,1,12,10,31,25.21,39.1712,17.2135,0,4.36
1980,11,26,8,31,6,40.65,15.0167,0,4.27
1963,7,19,6,31,48,43.4,8.2,0,4.14
1976,9,15,16,31,13,45.1667,12.8,0,4.14
2002,10,27,5,31,13.28,37.7568,15.1102,0,4.06
1981,1,16,6,31,24.79,40.8992,15.3397,0,3.95
1980,11,23,20,31,43,40.921,15.029,0,3.91
1984,6,22,5,31,32.38,44.4167,11.0537,0,3.89
1996,7,31,5,31,51.84,41.323,14.4582,0,3.85
1965,5,29,6,31,0,42.8667,12.8,0,3.84
1968,8,13,13,31,8,46.7333,9.7667,0,3.84
1998,1,10,2,31,35.7,37.712,15.0212,0,3.76
1970,8,14,5,31,30,44.1167,8.8,0,3.74
1971,8,26,13,31,50,44.6,9.3833,0,3.74
1960,11,10,15,31,30,43.9667,11.3833,0,3.7
1976,12,26,4,31,10,43.0833,13.4167,0,3.67
1981,9,20,15,31,28.39,40.6592,15.719,0,3.65
1976,10,19,8,31,21,46.6167,12.5667,0,3.64
1984,4,29,6,31,27.52,43.3752,12.5295,0,3.64
1990,10,29,8,31,15.65,36.5943,14.6023,0,3.62
1961,3,3,2,31,0,46.4333,13.0167,0,3.5
1980,2,4,2,30,18,38.2833,14.9167,281,4.57
2021,8,19,5,30,20.17,38.9775,15.7625,207.3,4.54
2017,1,20,9,30,59.48,38.4067,14.8905,191,3.54
2014,2,13,11,30,44.85,38.401,15.2627,143.6,3.96
1986,5,12,5,30,17.52,44.1748,11.0845,50,3.81
2006,5,30,11,30,40.66,37.63,16.519,46,4.45
1966,7,10,13,30,19,46.4,13.4,29,4.3
1979,4,16,14,30,52,41.95,18.9833,27,4.37
2012,8,13,7,30,51.89,38.528,13.7277,26.8,4.15
1988,7,13,21,30,54.71,37.7222,14.0717,24.4,3.75
1998,12,26,19,30,58.36,45.8278,11.4832,20.6,3.76
2001,12,31,15,30,9.15,44.8483,15.0315,20.3,4.26
2016,3,14,22,30,38.56,35.0932,11.9822,20,3.5
2020,12,31,20,30,52.16,37.6687,14.9747,16.2,3.69
1960,2,19,2,30,14,45.7333,10.45,15,4.64
1999,3,26,13,30,5.38,37.9333,14.3372,14.9,3.68
1997,9,26,13,30,52.21,43.0352,12.9048,13.9,4.51
1978,9,18,12,30,48,43.8815,16.9191,11,4.33
2011,10,14,17,30,24.94,38.865,16.335,10.9,3.84
2017,2,22,4,30,16.31,42.6078,13.2253,10.9,3.55
2018,8,11,3,30,38.81,46.3387,13.0357,10.3,3.74
2016,10,30,7,30,12.96,42.8032,13.08,10.3,3.65
1995,1,7,20,30,47.7,37.92,19.95,10,4.94
2007,2,5,8,30,4.38,45.075,15.11,10,4.42
2011,4,28,23,30,44.46,44.738,17.308,10,4.41
2003,4,3,22,30,11.4,43.151,15.43,10,4.29
2009,1,4,15,30,30,47.35,9.39,10,3.99
2018,11,30,6,30,29,42.46,16.27,10,3.96
1981,2,8,4,30,10.69,45.2265,7.5335,10,3.85
2003,4,29,18,30,15.2,43.185,15.49,10,3.68
1989,1,29,7,30,31.96,37.6168,15.3473,10,3.64
1992,1,12,12,30,14.92,36.0032,12.6878,10,3.6
1978,10,24,3,30,22,44,10.8333,10,3.54
1983,2,10,22,30,33.9,46.2728,13.4145,9.9,4.32
2009,4,7,9,30,56.57,42.332,13.371,9.8,3.91
2009,5,14,20,30,54.99,42.372,13.329,9.8,3.61
2017,1,18,12,30,49.24,42.5047,13.2722,9.8,3.59
2009,5,14,6,30,22.5,42.483,13.397,9.5,3.63
2001,5,26,13,30,48.45,36.9427,11.37,9.4,3.96
2017,1,18,10,30,33.51,42.5352,13.2493,9.3,3.94
2016,12,1,11,30,53.31,43.0017,13.0777,9.2,4.16
2010,1,22,12,30,50.78,42.239,13.52,9.1,3.6
1979,6,16,19,30,0,43.1333,12.9333,9,3.96
1976,11,23,7,30,23,46.3333,13.0833,9,3.93
1997,9,26,8,30,15.07,43.016,12.9107,8.9,3.86
2017,6,24,8,30,4.1,42.8878,13.1242,8.1,3.57
2018,8,18,14,30,11.36,43.3173,12.679,7.8,3.6
2021,1,20,7,30,27.37,47.5787,14.4683,6.5,4.29
1966,8,16,21,30,0,42.5333,12.1,6,3.9
1976,9,16,1,30,44,46.35,13.15,6,3.74
2012,5,29,9,30,21.16,44.86,11.093,5.9,3.86
1981,8,30,23,30,28.49,46.293,13.3113,5.8,3.79
1993,5,10,18,30,16.67,38.0383,14.1713,5.2,3.6
1979,5,11,11,30,45,42.1167,18.8667,5,4.69
1976,5,18,1,30,8,46.25,12.8667,5,3.73
1998,3,23,4,30,52.67,42.9533,12.9065,4.8,3.76
2006,1,5,17,30,39.21,42.744,12.756,4.8,3.75
2008,12,16,2,30,14.05,37.66,14.965,4.8,3.63
1990,1,27,11,30,50.69,43.5995,12.4645,4.7,3.53
1965,8,4,0,30,0,44.4667,10.1,3,4.3
2011,7,17,18,30,27.31,45.01,11.367,2.4,4.74
2010,7,25,13,30,53,40.48,19.98,2,3.61
1987,4,19,12,30,32.73,37.8418,16.1933,2,3.54
1995,10,3,5,30,17.43,38.094,14.1128,2,3.51
2009,8,17,6,30,41,42,19.3,2,3.5
2017,8,23,7,30,12.24,46.3205,9.5902,1,4.56
1971,4,21,16,30,5,37.7167,15.1667,1,4.14
1979,12,13,16,30,30,42.8167,13.0167,1,3.98
1979,4,15,6,30,52,42.1667,18.6833,0,5.04
1987,4,24,2,30,27.04,44.8127,10.6917,0,4.66
1970,12,31,21,30,0,44.1333,8.3333,0,4.44
1973,10,30,7,30,0,41.6667,14.1667,0,4.3
1960,12,4,4,30,17,42.8333,12.75,0,4.22
1980,11,23,21,30,16,41.1276,15.6363,0,4.21
1971,5,20,10,30,0,41.15,15.4,0,4.14
1967,12,3,21,30,36,42,13.517,0,4.03
1994,1,7,18,30,9.97,40.1845,17.3013,0,4.03
1983,9,30,11,30,39.91,41.695,16.0575,0,4.02
1973,12,30,6,30,35,43.0333,12.3,0,3.99
1992,2,18,3,30,9.82,42.3903,14.208,0,3.92
1970,6,16,6,30,51,44.6,10.3833,0,3.84
1967,4,2,16,30,0,44.7,10.8333,0,3.8
1974,1,21,12,30,31,37.7167,15.0333,0,3.74
1974,3,26,22,30,13,37.5667,15.2667,0,3.74
1980,11,15,8,30,46,38.866,14.29,0,3.73
1961,5,22,6,30,0,43.3833,12.4,0,3.7
1961,6,23,23,30,0,42.9333,12.7,0,3.7
1965,8,23,0,30,0,37.9,14.8,0,3.7
1970,10,23,10,30,0,40.7833,15.4167,0,3.7
2002,8,13,2,30,21.43,37.9068,14.5955,0,3.66
1976,12,26,4,30,28,42.8333,12.8333,0,3.64
1996,10,16,4,30,32.3,44.83,10.656,0,3.63
1972,2,5,5,30,52,43.7167,13.4,0,3.54
1973,4,14,21,30,15,44.3333,10.7333,0,3.54
1976,9,26,5,30,53,46.3667,13.0333,0,3.54
1960,4,12,4,30,0,42.8333,12.75,0,3.5
1970,5,17,5,30,0,37.7,12.9,0,3.5
1970,8,20,12,30,0,43.1,10.7,0,3.5
1971,9,12,0,30,0,44.6667,10.95,0,3.5
1971,11,3,21,30,48,46.4167,12.8667,0,3.5
2018,8,19,6,29,5.1,39.349,13.3662,525.7,4.69
2020,3,15,11,29,1,39.5498,13.6737,499.1,4.52
1965,12,23,15,29,3,40.3667,14.9,295,4.16
2018,1,27,18,29,13.47,38.9632,16.3427,78.5,3.8
1982,8,6,13,29,35.67,44.9987,7.8825,50.2,4.15
1988,4,26,3,29,17.89,42.299,16.6293,37.8,3.53
1967,12,3,21,29,59,42.3,13.4,35,4.61
1977,1,15,0,29,26,44.8667,8.9,28,4.24
2002,10,30,20,29,18.61,38.1715,17.4295,26.5,3.76
2000,5,8,12,29,56.2,44.2792,11.9173,25.5,4.67
1978,7,14,4,29,39,37.5,12.9667,25,3.64
2010,1,15,16,29,48.86,38.785,14.059,24.3,3.57
1985,11,25,13,29,9.76,39.4188,16.7428,24.2,3.65
2020,1,27,3,29,54.93,42.1545,7.5378,24,3.54
2013,9,19,15,29,7.21,38.4772,11.6212,23.5,3.72
1978,4,15,23,29,11,38.3333,15.0833,23,4.16
2021,8,14,9,29,25.87,40.4217,16.3567,22.9,3.67
1979,5,27,3,29,18,38.0833,15.7333,20,3.84
1983,11,9,16,29,52.38,44.6525,10.3423,18.1,5.04
2001,11,20,18,29,28.25,41.5062,15.6782,18,3.66
1968,3,22,19,29,58,40.3,16,17,4.16
1989,11,14,11,29,14.45,38.4658,12.3882,16.6,3.58
1978,10,16,6,29,16,39.4167,16.0333,16,3.54
1980,3,1,14,29,44,42.8,13,14,3.95
1980,11,28,17,29,9,41.0333,15.0333,13,4.18
2005,11,14,1,29,8.91,42.985,17.939,12.5,3.51
1997,3,15,21,29,57.66,44.8963,15.964,12.1,4.16
1979,12,29,17,29,1,42.7667,13.1167,12,3.93
2016,11,9,6,29,55.74,42.7193,13.1727,11.9,3.55
1980,2,28,21,29,17,42.8167,13.05,11,3.57
2013,10,19,12,29,35.29,43.6807,10.2638,10.5,3.66
1995,12,31,21,29,47.6,44.4223,10.5667,10.3,4.51
2017,1,18,10,29,38.14,42.503,13.2877,10.2,3.73
1994,8,9,21,29,27.98,36.2498,12.9978,10,4.86
1982,10,18,15,29,26.4,43.1555,12.5068,10,4.56
2013,2,4,4,29,49,43.76,16.45,10,4.42
1980,12,8,17,29,3,40.8145,15.58,10,4.26
2011,2,8,16,29,45.52,43.867,17.358,10,4.13
2013,2,4,4,29,45.87,43.5953,16.5313,10,4.13
1993,11,17,0,29,5.22,42.634,10.8605,10,4
1994,2,4,5,29,47.29,36.3738,11.535,10,3.88
2021,4,4,7,29,11.8,42.627,16.1977,10,3.73
1985,10,27,7,29,37.45,37.7487,15.1543,10,3.65
1994,12,3,12,29,10,46.7323,14.5925,10,3.63
2021,1,9,21,29,10.05,45.3542,16.3093,8.5,4.15
1989,8,3,8,29,56.47,37.7423,14.9905,8.2,3.68
2007,8,16,0,29,42.77,42.811,13.117,8.2,3.52
2014,7,31,3,29,28.98,39.902,16.1018,7.7,3.72
2012,5,29,9,29,37.09,44.8835,11.0023,6.4,4.17
1997,4,3,22,29,15.88,37.7718,14.948,6.1,3.56
1979,7,14,11,29,6,42.1833,18.8,6,4.72
1998,9,17,5,29,44.39,46.0498,14.7645,5.9,4.16
1978,12,5,17,29,6,42.9167,13.4333,5,3.94
1971,7,18,5,29,33,44.6667,10.3,5,3.84
2012,5,20,2,29,54.19,44.8363,11.4308,5,3.57
1987,7,8,4,29,15.91,43.779,12.2453,4.4,3.58
2012,3,15,3,29,5.39,42.797,13.201,4.3,3.92
1997,10,6,23,29,58.65,43.0208,12.8565,4.3,3.56
2002,12,1,23,29,24.36,41.6643,14.8068,3.3,3.56
1997,10,19,11,29,28.83,37.7875,15.0905,3.2,3.88
2000,4,16,20,29,6.77,45.9692,15.6472,3,3.8
1976,9,14,15,29,5,46.3,13.1333,3,3.54
2002,10,27,2,29,31.18,37.774,15.055,2.7,4.06
2001,6,24,14,29,17.55,39.4552,19.6675,2.1,4.08
2014,5,4,23,29,51.7,43.17,18.51,2,3.95
2010,7,14,4,29,25,42.99,17.66,2,3.83
1993,11,28,10,29,11.89,45.5875,14.37,0.7,3.84
1992,8,16,10,29,45.32,44.3055,11.4995,0.6,3.57
2001,5,9,9,29,49.44,36.7638,12.3692,0,4.56
1974,10,22,7,29,4,39.6,18.8,0,4.36
1964,5,21,7,29,42,43.3333,12.9,0,4.3
1968,1,16,14,29,26,37.8,13,0,4.14
1968,6,17,9,29,57,44.1,8.5,0,3.97
1992,3,18,16,29,54.39,41.1973,14.8477,0,3.88
1986,10,17,4,29,26.92,43.1387,13.8188,0,3.85
1978,12,2,11,29,34,46.3,13.2,0,3.84
1976,5,15,9,29,11,46.2833,13,0,3.77
1985,1,10,19,29,42.99,39.598,16.432,0,3.76
1968,1,23,16,29,40,37.8,13,0,3.74
1968,1,16,2,29,54,37.8,13,0,3.64
1972,2,4,19,29,48,43.6667,13.9333,0,3.64
1974,8,27,23,29,35,41.6167,13.8667,0,3.54
1977,12,7,14,29,26,45.3667,6.5667,0,3.54
1972,1,28,15,29,41,44.2,8.2,0,3.5
2004,10,4,6,28,59.4,38.927,15.224,305,3.68
2006,10,26,14,28,36.58,38.658,15.495,220.7,5.79
1983,10,31,23,28,33.88,39.0443,15.89,129.6,3.76
1993,5,9,1,28,6.81,38.9843,15.8945,127.2,3.99
1977,7,3,10,28,37,45.0833,11.0833,99,3.54
1977,6,30,19,28,37,38.5667,11.9833,61,4.58
1988,4,27,16,28,53.22,42.3323,16.7917,61,3.77
1979,6,27,4,28,10,44.4167,11.1,43,3.97
1962,8,21,21,28,0,41.1333,15.1167,40,4.04
1968,1,14,12,28,16,37.9,13,39,5.15
2020,4,24,14,28,15.39,37.7685,14.0858,36.1,3.96
2020,7,2,15,28,0.78,37.0413,15.6543,29.7,3.78
1998,9,9,11,28,0.34,40.06,15.949,29.2,5.53
1980,11,25,11,28,21,40.75,15.2167,29,4.28
2021,2,13,5,28,10.55,42.4942,15.2898,28,3.64
2002,9,9,9,28,33.33,38.4155,13.7308,26.9,4.06
2002,7,31,9,28,53.24,40.8483,18.5878,25.8,3.88
2011,5,6,19,28,49.81,37.793,14.963,25.7,3.57
2012,11,22,11,28,55.59,37.7905,14.949,24.5,4.09
1997,8,8,0,28,14.32,37.7602,14.952,23.2,3.58
2001,2,6,22,28,45.32,44.074,8.6928,21.1,4.17
1985,11,25,6,28,26.63,39.5495,16.7202,19.9,4.1
2015,12,6,5,28,15.02,42.3488,15.143,18.7,4.37
2005,12,15,13,28,39.59,42.738,12.76,18.4,4.14
1997,10,4,3,28,9.64,43.6122,12.1568,18.1,3.66
1996,11,5,6,28,52.93,42.653,13.4682,17.9,3.86
2018,8,16,19,28,38.12,41.8617,14.8032,17.1,3.58
1969,1,7,2,28,0,44.0667,10.7333,17,3.84
1980,11,25,18,28,21,40.6333,15.3833,16,5.39
1976,6,17,14,28,47,46.45,13.5,15,4.53
2021,10,21,0,28,54.04,46.4322,13.0737,13.1,3.85
2017,2,14,8,28,4.03,42.6892,13.216,11.1,3.8
2017,1,19,1,28,43.16,42.5453,13.2612,10.8,3.6
1985,5,13,20,28,22.28,38.2115,15.644,10.2,3.54
1985,8,15,4,28,47.1,47.05,18.06,10,5.14
1979,6,1,9,28,59,42.25,18.7167,10,4.65
1979,5,24,22,28,14,42.211,18.6539,10,4.45
2016,1,8,21,28,36.42,36.5988,12.0127,10,3.79
2010,3,18,17,28,25.86,43.826,19.256,10,3.78
2008,5,19,21,28,50.07,41.309,19.621,10,3.76
2010,11,12,11,28,56.23,43.42,18.744,10,3.71
2008,9,27,8,28,27.17,39.179,17.214,10,3.65
2021,9,8,11,28,38.78,44.3028,17.8577,10,3.63
1996,5,22,18,28,52.05,42.972,13.6335,10,3.6
1996,7,25,1,28,31.9,38.7092,17.7417,10,3.59
1983,11,20,10,28,53.88,39.1367,14.7928,10,3.54
1994,4,26,10,28,25.01,42.9658,12.65,9.3,3.87
2012,10,1,20,28,27.97,39.9007,16.016,9.2,3.9
1989,12,19,14,28,20.92,41.6565,12.7087,9,3.55
2020,12,28,5,28,6.75,45.3965,16.2398,8.8,4.87
2016,8,26,4,28,25.91,42.6048,13.2915,8.7,4.91
2012,11,25,8,28,39.58,39.9137,16.0057,8.7,3.85
1997,3,8,21,28,58.74,41.3487,17.0322,8.4,3.96
2016,11,28,22,28,40.84,43.0133,13.0735,8.4,3.6
1989,8,22,14,28,57.44,42.0112,15.4852,7.9,4.08
1995,8,27,5,28,33.67,41.5313,15.4333,7.7,3.68
1993,6,14,12,28,36.1,45.9642,8.2837,7.4,4.13
2009,9,24,2,28,22.01,42.554,16.416,6.1,3.55
1980,11,30,19,28,11,40.65,15.45,6,3.54
2000,4,26,13,28,40.58,40.9562,10.2158,5.7,4.36
1984,9,28,4,28,9.62,40.8078,14.1063,5.4,3.54
2012,5,29,18,28,1.05,44.8905,10.9258,5.1,3.95
1979,8,28,5,28,35,42.4167,18.1333,5,3.9
1978,11,27,14,28,2,37.75,15.05,5,3.74
1978,6,9,8,28,11,38,14.6667,5,3.54
1997,9,7,23,28,5.79,43.0357,12.883,4.3,4.06
1985,8,12,10,28,3.64,44.5775,9.6398,4.3,3.53
1992,6,12,9,28,33.84,42.9735,11.401,4,3.71
1997,5,3,0,28,52.77,42.8483,12.8885,4,3.56
2008,5,13,9,28,6.55,37.759,15.018,4,3.53
1996,11,10,23,28,54.54,41.6547,15.1722,3.9,3.58
1985,11,10,19,28,47.36,38.3493,13.8927,3.4,3.87
1988,4,13,21,28,27.56,39.6823,16.8798,2.8,4.55
1997,12,3,8,28,36.16,37.6617,14.9918,2.8,4.16
1997,10,5,15,28,5.22,42.9155,12.9267,0.9,3.86
2002,11,4,9,28,21.3,41.7538,14.8733,0.4,3.86
1964,9,5,22,28,45,44,11.2,0,4.64
2002,10,27,1,28,20.68,37.7843,15.197,0,4.36
1972,11,24,8,28,58,42.8333,13.3,0,4.14
1996,6,1,12,28,17.73,39.9913,16.857,0,4.06
1998,5,16,13,28,40.75,43.3815,18.432,0,4.06
1986,10,5,11,28,41.86,37.6848,15.0383,0,3.99
1983,9,20,16,28,48.1,40.8378,15.2378,0,3.91
1960,9,9,21,28,33,42.7,12.5,0,3.84
1968,1,20,3,28,34,37.8,13,0,3.84
1976,9,6,19,28,12,46.3333,13.05,0,3.73
1979,6,30,6,28,43,44.2667,16.0167,0,3.69
1980,11,24,4,28,10,40.298,14.82,0,3.66
1977,12,5,16,28,37,38.2167,14.45,0,3.64
1976,10,30,12,28,39,46.3667,12.7667,0,3.59
2000,1,11,8,28,57.89,37.728,15.1912,0,3.58
2001,3,30,11,28,7.83,37.0475,14.963,0,3.58
1980,3,20,23,28,40,43.9833,11.6333,0,3.54
1974,5,27,0,28,45,43.3167,11.3,0,3.5
1975,6,8,2,28,59,46.5,13,0,3.5
1975,11,23,10,28,0,45.7833,13,0,3.5
2009,11,23,2,27,8.65,39.552,15.55,306.1,4.47
1978,2,6,16,27,25,39.0167,15.5833,271,3.64
1992,6,25,21,27,36.62,38.6693,15.1685,236.6,3.71
2020,2,27,5,27,39.62,38.6717,15.3013,232.8,3.82
2012,7,4,13,27,13.69,38.4152,15.1597,175,4.32
2020,10,5,13,27,35.44,44.5915,9.8962,67.7,3.55
2009,10,13,13,27,41.99,37.526,18.352,49.1,4.02
2016,10,30,9,27,7.44,35.1467,16.2073,41,4.55
1965,7,10,6,27,16,44.3167,10.2,40,3.74
1998,9,23,4,27,46.48,41.7715,15.8492,34.6,3.76
2012,6,15,6,27,24.85,37.4578,16.3222,33.1,3.93
1962,8,30,6,27,7,43.8833,12.2,33,4.75
1970,8,5,4,27,22,43.93,16.05,33,4.57
2020,12,22,20,27,24.29,36.9315,14.4118,29.5,4.55
2002,11,12,9,27,48.57,41.689,14.7865,28.9,4.57
1970,8,8,4,27,17,44.7,12.8,27,4.34
2009,3,19,8,27,54.02,36.472,12.732,26.1,4.01
2005,4,19,8,27,39.88,44.769,9.687,25.6,3.62
2002,12,20,20,27,24.86,38.3748,13.6955,24.6,3.76
1980,6,18,18,27,31,46.3167,13.0167,24,3.58
1996,12,19,5,27,21.76,41.7615,15.8735,23.6,3.78
1995,8,25,9,27,21.4,45.37,17.64,23,4.73
1980,11,24,5,27,6,40.8833,15.2167,23,3.93
2015,9,20,22,27,58.5,37.1563,15.6138,22.6,3.85
1979,1,16,19,27,9,38.2833,15.0333,22,4.07
2002,11,2,23,27,59.7,41.7387,14.9045,19.3,3.86
2015,8,3,7,27,49.3,39.1482,16.4895,19.2,4.23
1978,6,12,17,27,5,43.85,11.9833,19,3.54
2019,11,26,7,27,2.25,41.5093,19.4613,18,4.9
1976,10,11,19,27,12,41.6333,14.3833,16,3.58
1979,5,28,13,27,53,42.1667,18.75,15,4.63
1980,3,30,9,27,16,39.9,16.1333,14,3.54
1984,6,19,1,27,22.35,41.648,13.8932,13.5,4.27
1989,5,12,9,27,38.01,44.6342,7.258,13.4,3.65
1976,6,2,9,27,2,46.25,12.95,13,3.54
1997,10,20,1,27,5.13,42.9973,12.8852,12.5,3.66
1976,9,5,16,27,35,44.6333,9.5,11,3.84
1998,3,7,3,27,4.31,41.5908,14.3658,11,3.56
2016,10,31,3,27,40.3,42.7612,13.0858,10.6,4.15
1988,12,25,18,27,35.1,44.9615,9.0087,10.1,3.91
1986,1,8,0,27,20.55,42.693,15.6207,10,4.67
2003,6,16,8,27,51,37.69,19.73,10,4.64
2019,1,4,19,27,39,40.2,19.82,10,4.62
1995,8,24,17,27,33.17,44.1165,10.6697,10,4.45
2009,5,7,21,27,15,47.6,15.7,10,4.35
2006,9,2,23,27,16.8,40.08,19.792,10,4.07
1981,3,17,10,27,40.15,37.1582,15.1535,10,4
2011,6,1,8,27,53.28,43.692,17.367,10,3.83
2007,4,17,3,27,21.58,40.894,19.519,10,3.81
2003,5,2,15,27,35.6,43.335,15.751,10,3.58
2012,5,29,10,27,10.81,44.8697,11.1018,9.9,3.66
2016,10,7,7,27,7.33,46.5488,9.5448,9.9,3.55
2016,10,26,19,27,54.32,42.8857,13.0798,9.3,3.53
1995,1,3,1,27,44.22,39.1403,16.4058,9.1,3.65
1989,9,24,21,27,54.9,41.29,19.49,9,4.41
2009,4,8,4,27,41.21,42.29,13.462,9,4
2011,7,12,21,27,12.56,43.938,11.869,8.4,3.63
2009,4,6,2,27,46.33,42.366,13.319,8.3,3.98
2021,8,1,23,27,18.8,45.4053,16.2935,8.1,4.06
2014,4,19,21,27,53.21,43.3487,12.5337,7.9,3.87
2009,4,14,17,27,30.6,42.528,13.313,7.8,3.83
1998,3,25,11,27,21.66,39.2517,15.5132,7.6,3.68
2014,12,19,17,27,16.47,43.6242,11.2323,7.3,3.7
2016,7,28,13,27,43.46,42.2978,15.8788,7.1,3.56
1960,1,11,11,27,0,41.3,13.9833,7,5
2002,10,31,2,27,19.74,41.7413,14.8727,6.8,3.56
2000,10,26,20,27,12.41,44.35,10.4838,6.1,3.76
2012,5,29,8,27,22.65,44.8832,11.0415,6,4.68
1991,7,14,12,27,1,37.8387,14.304,5.1,3.53
1980,7,22,2,27,36,42.9833,13.0333,5,3.61
1967,6,8,21,27,20,45.8,14.3833,5,3.5
1980,1,25,0,27,53,46.5,10.6833,4,3.89
1998,4,19,11,27,42.91,42.9422,12.9178,3.6,3.66
2002,1,11,19,27,6.37,36.71,11.1282,3.2,3.76
1997,7,26,4,27,57.08,42.7502,12.5647,2.8,3.76
2005,9,8,11,27,17.77,46.008,6.959,2.4,4.44
1971,8,21,3,27,48,44.6,8.6833,2,3.64
1968,6,18,5,27,33,45.7333,7.9667,1,4.79
1981,5,26,9,27,53.36,44.807,10.5783,0.1,3.65
1981,2,14,17,27,44.52,41.0447,14.6515,0,4.88
1967,9,24,22,27,48,46,9.4,0,4.79
1979,4,9,10,27,19,36.9167,10.05,0,4.64
1967,10,8,15,27,15,46.5,7.1,0,4.46
1973,7,9,0,27,5,46.7667,9.5333,0,4.44
1972,2,5,1,27,30,43.7,13.4,0,4.41
1963,7,24,2,27,37,42.6333,13.3,0,4.34
1962,10,20,9,27,0,42.7,12.7,0,4.24
1975,6,12,19,27,6,37.45,14.4333,0,4.24
1968,4,25,18,27,40,46.6,9.8,0,4.16
1963,1,25,5,27,0,42.9167,13.0833,0,4.14
1990,7,11,7,27,9.75,45.776,14.663,0,3.89
1986,1,27,4,27,4.95,42.6907,15.4738,0,3.81
1968,1,16,17,27,42,37.8,13,0,3.74
1984,4,29,5,27,35.6,43.135,12.4372,0,3.66
1968,1,17,18,27,36,37.8,13,0,3.64
1974,4,15,21,27,23,44.3333,12.9,0,3.64
1975,5,5,17,27,41,43.1,13.1,0,3.59
2018,12,24,10,27,1,37.813,15.107,0,3.59
1997,11,11,7,27,58.34,37.5333,15.1475,0,3.58
2002,11,1,9,27,24.79,41.736,14.8873,0,3.56
