y,month,d,h,minute,s,lon,lat,depth,mw
1956,12,19,21,49,15.42,176.88,-36.36,330,4.0408
1987,3,10,18,14,57.684,182.2946,-32.0772,329.3347,4.0363
2001,7,16,23,30,26.879,176.2962,-37.522,329.06,3.8881
1960,10,17,10,4,52.72,178.17,-35.36,329,4.3491
2020,6,4,12,41,54.273,180.3482,-32.2018,328.2363,4.2557
1955,5,14,4,52,11.76,176.79,-37.36,328,4.1985
2001,3,31,21,9,17.049,176.8182,-36.7992,327.57,3.6886
2006,12,26,16,51,41.488,176.2165,-37.4583,327.15,3.5289
2004,11,15,6,18,27.042,176.1555,-37.4927,326.96,4.2161
1999,8,22,1,9,35.58,176.5642,-37.6658,326.8877,4.2267
2015,5,4,8,20,46.329,180.1948,-32.2862,326.0396,3.6209
1967,12,6,15,47,11.4,176.87,-37.14,326,3.6312
1952,1,1,18,28,33.44,176.44,-37.59,326,3.6424
1978,6,17,22,19,22.9,175.69,-38.07,326,4.4583
1951,3,23,21,38,51.2,180.57,-32.07,326,6.2526
1992,4,5,15,49,23.484,176.5463,-37.3364,325.692,3.8756
2004,8,19,19,38,37.127,176.2497,-37.3335,325.31,3.5572
1941,7,3,0,1,34,176.2,-38.2,325,5.2
2005,11,8,22,51,53.517,176.1105,-37.425,324.46,4.3561
1996,5,1,9,52,39.52,176.7863,-37.1905,324.3313,3.9034
1996,8,20,15,14,9.965,178.5,-35.1444,324.3241,3.6025
1988,1,4,14,9,29.299,176.1888,-37.7124,324.2398,5.2215
1976,5,20,13,4,22.98,178.47,-35.23,324,3.5543
1967,2,17,21,20,11.29,176.68,-37.22,324,4.1112
2011,4,11,5,38,11.234,177.33,-36.3098,323.71,3.8923
2010,7,17,19,25,26.043,176.316,-37.29,323.63,3.6736
1975,1,15,22,53,33.01,178.7,-35.51,323,3.5394
1965,2,28,6,15,30.11,177.78,-36.26,323,4.3185
2020,1,16,14,13,24.115,179.7666,-32.2164,322.9803,3.5125
1999,1,28,5,7,51.729,177.7311,-35.9393,322.7335,3.7501
1944,9,2,19,52,45.34,177.51,-37.36,322,4.4168
1988,1,10,17,28,5.594,176.338,-37.5156,321.7674,3.6382
2020,9,25,1,25,19.311,180.7615,-32.3837,321.1595,4.1915
1977,7,20,7,9,26.8,177.09,-37.21,321,3.5523
1971,9,5,4,26,54.98,176.87,-37.13,320,3.7331
2003,11,2,20,23,6.501,179.2407,-34.7523,319.6708,3.5463
1996,9,6,20,29,6.056,176.812,-37.0117,319.4073,3.8488
1986,10,7,11,26,10.35,176.8,-37.09,319,3.5448
1983,8,9,20,22,30.17,176.85,-37.2,319,3.6509
1974,7,6,15,34,22.52,177.4,-36.57,319,4.6594
2013,11,6,9,10,5.346,179.9859,-34.188,318.6115,3.8891
2015,10,13,20,13,23.156,179.1998,-34.4258,318.4172,3.8252
2019,10,14,1,44,15.434,180.6752,-32.3881,318.0703,4.5825
