target_id,latitude,longitude,time,magnitude,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1
1427,-39.9536,176.5935,2014-03-31 01:29:35.183,4.2,3.5,0.0,1.5264226889076911e-07,0.999999221076733,7.789232670208253e-07,1.0
1428,-39.9529,176.5765,2014-03-31 01:53:19.667,4.5,3.5,0.0,1.5264226889076911e-07,0.9999991809881578,8.190118423478917e-07,1.0
1429,-45.1871,166.8425,2014-04-03 09:16:44.626,4.3,3.5,0.0,1.5264226889076911e-07,0.9468420770934994,0.053157922906500725,1.0
1430,-43.561,172.6541,2014-04-12 20:36:53.929,3.7,3.5,0.0,1.5264226889076911e-07,0.9960026428629043,0.00399735713709567,1.0
1431,-38.4199,177.0958,2014-04-15 13:20:07.761,3.9000000000000004,3.5,0.0,1.5264226889076911e-07,0.008684230297972245,0.9913157697020277,1.0
1432,-44.7174,167.2872,2014-04-22 22:35:36.822,3.5,3.5,0.0,1.5264226889076911e-07,0.30345126352136237,0.6965487364786376,1.0
1433,-40.9393,176.1007,2014-04-25 07:21:11.386,3.7,3.5,0.0,1.5264226889076911e-07,0.9689074133348639,0.031092586665136084,1.0
1434,-37.8755,178.4723,2014-04-28 09:52:20.712,3.6,3.5,0.0,1.5264226889076911e-07,0.027101459620060272,0.9728985403799398,1.0
1435,-40.2387,174.9983,2014-05-03 23:47:13.083,3.5,3.5,0.0,1.5264226889076911e-07,0.34475312745007125,0.6552468725499287,1.0
1436,-45.6001,166.6782,2014-05-06 13:34:40.894,3.5,3.5,0.0,1.5264226889076911e-07,0.9322153199254386,0.06778468007456133,1.0
1437,-43.5604,172.4183,2014-05-10 02:11:48.884,3.7,3.5,0.0,1.5264226889076911e-07,0.9955691101608662,0.00443088983913377,1.0
1438,-40.5891,175.9607,2014-05-16 07:55:30.865,4.2,3.5,0.0,1.5264226889076911e-07,0.9916937172572436,0.008306282742756292,1.0
1439,-38.7178,178.0092,2014-05-20 18:18:44.961,3.9000000000000004,3.5,0.0,1.5264226889076911e-07,0.08059368113998064,0.9194063188600193,1.0
1440,-40.7113,175.9834,2014-05-23 18:08:21.996,3.6,3.5,0.0,1.5264226889076911e-07,0.9618035417909288,0.03819645820907117,1.0
1441,-43.9847,169.4561,2014-05-25 07:26:31.845,3.7,3.5,0.0,1.5264226889076911e-07,0.8678912989642694,0.1321087010357307,1.0
1442,-38.3763,178.47,2014-05-27 20:18:24.542,3.5,3.5,0.0,1.5264226889076911e-07,0.5436925655108072,0.45630743448919264,1.0
1443,-40.3212,176.6494,2014-05-28 10:26:37.449,4.7,3.5,0.0,1.5264226889076911e-07,0.9073947588996164,0.09260524110038362,1.0
1444,-46.4849,166.4264,2014-06-05 14:41:16.786,3.6,3.5,0.0,1.5264226889076911e-07,0.2646877705449488,0.7353122294550513,1.0
1445,-37.1694,178.0672,2014-06-15 21:56:06.189,3.5,3.5,0.0,1.5264226889076911e-07,0.004690938035464434,0.9953090619645356,1.0
1446,-45.541,166.8228,2014-06-18 21:44:32.811,3.9000000000000004,3.5,0.0,1.5264226889076911e-07,0.6479833274136862,0.35201667258631375,1.0
